Sample Name,Product,product_yield,Reactant,Reactant/InternalStandard,(product)/(rxt+pdt),TWC_acid AreaAbs,TWC_chloro-amide AreaAbs,TWC_biphenyl AreaAbs,TWC_iodo-amide AreaAbs,TWC_bromo-amide AreaAbs,IC50,new_order
A1,99042.6531,0.2928,120762.587,0.35699166,0.450592775,120762.587,0,338278.4548,99042.6531,0,43,0.2928
A2,169540.2039,0.6362,129502.8514,0.485977046,0.566942455,129502.8514,0,266479.3582,169540.2039,0,5.3,0.400696862
A3,88739.29428,0.331839277,41718.15666,0.156004429,0.680216374,41718.15666,0,267416.4885,0,88739.29428,0,0.6362
A4,108063.7026,0.400696862,125870.8608,0.466725253,0.461939873,125870.8608,0,269689.4156,0,108063.7026,21,0.473771083
A5,126796.3271,0.473771083,104068.3754,0.388848699,0.549223531,104068.3754,126796.3271,267632.0523,0,0,47,0.331839277
A6,110079.5461,0.396258028,37995.47523,0.13677393,0.743403885,37995.47523,110079.5461,277797.6428,0,0,24.9,0.396258028
B1,110765.3103,0.3271,169744.9205,0.501221116,0.394870839,169744.9205,0,338662.7481,110765.3103,0,8.3,0.3271
B2,131320.0365,0.5539,138738.2952,0.585211309,0.486265451,138738.2952,0,237073.8452,131320.0365,0,3.521,0.489879726
B3,94688.46877,0.382700486,63105.17277,0.255050912,0.600077848,63105.17277,0,247421.8672,0,94688.46877,39.68,0.5539
B4,118573.6207,0.489879726,53796.20685,0.222255768,0.687902415,53796.20685,0,242046.3928,0,118573.6207,134.5,0.438561408
B5,106233.3977,0.438561408,39179.5051,0.16174404,0.730563765,39179.5051,106233.3977,242231.5226,0,0,0,0.382700486
B6,104728.9329,0.445913106,28174.35955,0.119960319,0.788008566,28174.35955,104728.9329,234863.9936,0,0,0,0.445913106
C1,160478.4343,0.5019,117147.1545,0.366380709,0.57803906,117147.1545,0,319741.6008,160478.4343,0,10.21,0.5019
C2,210802.8095,0.8438,91579.12913,0.366552415,0.697140876,91579.12913,0,249839.11,210802.8095,0,2.183,0.772380124
C3,110124.5906,0.456678543,49304.49826,0.204462112,0.690743398,49304.49826,0,241142.4673,0,110124.5906,176.5,0.8438
C4,179435.4327,0.772380124,44338.60305,0.190855592,0.80185993,44338.60305,0,232314.9276,0,179435.4327,10.54,0.576232722
C5,142218.4253,0.576232722,95177.55216,0.385635123,0.599076812,95177.55216,142218.4253,246807.2705,0,0,0,0.456678543
C6,148705.8218,0.610126369,75797.49066,0.310990163,0.662376961,75797.49066,148705.8218,243729.544,0,0,233,0.610126369
D1,86629.428,0.2851,84255.02016,0.277299462,0.506947408,84255.02016,0,303841.2681,86629.428,0,628.3,0.2851
D2,113419.7363,0.4927,147945.7042,0.642707832,0.433950778,147945.7042,0,230191.2267,113419.7363,0,11.36,0.371467198
D3,84370.1366,0.356867126,44198.93003,0.186951755,0.656224229,44198.93003,0,236418.9092,0,84370.1366,37.14,0.4927
D4,87672.15656,0.371467198,60470.65982,0.256214373,0.591808356,60470.65982,0,236015.8769,0,87672.15656,18.9,0.410611784
D5,97091.46641,0.410611784,69551.23954,0.294140768,0.58263256,69551.23954,97091.46641,236455.6261,0,0,0,0.356867126
D6,0,0,124006.782,0.529593142,0,124006.782,0,234154.8107,0,0,0,0