Sample Name,product_yield,product_yield2,product_yield3
A1,29.1308095,29.1308095,29.1308095
A2,39.01480952,39.01480952,39.01480952
A3,35.52709524,35.52709524,35.52709524
A4,44.37152381,44.37152381,44.37152381
A5,36.33857143,36.33857143,36.33857143
A6,7.600285714,7.600285714,7.600285714
A7,37.42071429,37.42071429,37.42071429
A8,3.930619048,3.930619048,3.930619048
A9,34.23228571,34.23228571,34.23228571
A10,33.8047619,33.8047619,33.8047619
A11,12.1467619,12.1467619,12.1467619
A12,23.74233333,23.74233333,23.74233333
B1,29.8354762,29.8354762,29.8354762
B2,26.54514286,26.54514286,26.54514286
B3,19.29457143,19.29457143,19.29457143
B4,31.05285714,31.05285714,31.05285714
B5,27.3207619,27.3207619,27.3207619
B6,20.8232381,20.8232381,20.8232381
B7,5.331904762,5.331904762,5.331904762
B8,2.582047619,2.582047619,2.582047619
B9,22.827,22.827,22.827
B10,20.48719048,20.48719048,20.48719048
B11,20.66285714,20.66285714,20.66285714
B12,28.17161905,28.17161905,28.17161905
C1,40.3474286,40.3474286,40.3474286
C2,1.006619048,1.006619048,1.006619048
C3,29.40990476,29.40990476,29.40990476
C4,38.74261905,38.74261905,38.74261905
C5,31.54657143,31.54657143,31.54657143
C6,1.25152381,1.25152381,1.25152381
C7,32.3157619,32.3157619,32.3157619
C8,27.75861905,27.75861905,27.75861905
C9,12.06038095,12.06038095,12.06038095
C10,24.22257143,24.22257143,24.22257143
C11,15.18733333,15.18733333,15.18733333
C12,32.26090476,32.26090476,32.26090476
D1,6.9300476,6.9300476,6.9300476
D2,14.39885714,14.39885714,14.39885714
D3,0.412333333,0.412333333,0.412333333
D4,14.48290476,14.48290476,14.48290476
D5,13.45757143,13.45757143,13.45757143
D6,12.36328571,12.36328571,12.36328571
D7,15.43542857,15.43542857,15.43542857
D8,15.46342857,15.46342857,15.46342857
D9,14.73271429,14.73271429,14.73271429
D10,2.987285714,2.987285714,2.987285714
D11,14.26485714,14.26485714,14.26485714
D12,5.825904762,5.825904762,5.825904762
E1,46.7939524,46.7939524,46.7939524
E2,32.38747619,32.38747619,32.38747619
E3,16.09233333,16.09233333,16.09233333
E4,39.39295238,39.39295238,39.39295238
E5,32.79014286,32.79014286,32.79014286
E6,1.661142857,1.661142857,1.661142857
E7,37.51219048,37.51219048,37.51219048
E8,29.45261905,29.45261905,29.45261905
E9,29.23438095,29.23438095,29.23438095
E10,30.72480952,30.72480952,30.72480952
E11,23.49561905,23.49561905,23.49561905
E12,25.83933333,25.83933333,25.83933333
F1,17.8436667,17.8436667,17.8436667
F2,19.81885714,19.81885714,19.81885714
F3,5.963904762,5.963904762,5.963904762
F4,5.459190476,5.459190476,5.459190476
F5,11.54466667,11.54466667,11.54466667
F6,3.697285714,3.697285714,3.697285714
F7,20.6942381,20.6942381,20.6942381
F8,24.61119048,24.61119048,24.61119048
F9,2.148380952,2.148380952,2.148380952
F10,16.89971429,16.89971429,16.89971429
F11,21.13604762,21.13604762,21.13604762
F12,18.14838095,18.14838095,18.14838095
G1,43.0231905,43.0231905,43.0231905
G2,36.65009524,36.65009524,36.65009524
G3,34.87152381,34.87152381,34.87152381
G4,43.25766667,43.25766667,43.25766667
G5,35.88852381,35.88852381,35.88852381
G6,0.320904762,0.320904762,0.320904762
G7,33.50166667,33.50166667,33.50166667
G8,16.57914286,16.57914286,16.57914286
G9,0,0,0
G10,30.39433333,30.39433333,30.39433333
G11,12.76566667,12.76566667,12.76566667
G12,20.88704762,20.88704762,20.88704762
H1,12.8771905,12.8771905,12.8771905
H2,19.19914286,19.19914286,19.19914286
H3,2.277952381,2.277952381,2.277952381
H4,22.3357619,22.3357619,22.3357619
H5,20.05747619,20.05747619,20.05747619
H6,23.18557143,23.18557143,23.18557143
H7,9.614952381,9.614952381,9.614952381
H8,18.33814286,18.33814286,18.33814286
H9,19.1732381,19.1732381,19.1732381
H10,15.545,15.545,15.545
H11,19.43290476,19.43290476,19.43290476
H12,0.847285714,0.847285714,0.847285714